number,PMID,gene,disease,body fluid,sequencing method,experiment,Drug resistance,disease prognosis,characteration of tumors,prospects for detection,metastasis biomarker,therapy,others
49,34250387,KRAS,Non-Small Cell Lung Cancer,plasma,ddPCR,"Patients with advanced EGFR-mutant NSCLC across three phase I NCI osimertinib combination trials were analyzed in this study, and an institutional cohort of patients with KRAS-, EGFR-, and BRAF-mutant advanced NSCLC receiving systemic treatment was used for validation. Plasma was collected before treatment initiation and serially before each cycle of therapy, and key driver mutations in ctDNA were characterized by droplet digital polymerase chain reaction. Timing of plasma versus imaging response was compared in a separate cohort of patients with EGFR-mutant NSCLC treated with osimertinib. Across cohorts, we also studied ctDNA variability before treatment start.",_,"Using serial analysis of key KRAS, EGFR, and BRAF driver mutations, we find that plasma ctDNA response among patients with advanced NSCLC receiving systemic therapy is an early phenomenon and that the vast majority can be seen within the first cycle of therapy. Decreases in mutation abundance were observed as early as 7 days following treatment initiation and the median time to nadir among patients who achieved complete clearance was 23.5 days (IQR, 21.0-31.3). Our findings suggest that plasma ctDNA changes in response to treatment initiation often occur well before the earliest standard imaging timepoints, and that early ctDNA analysis has the potential to fill this gap as an early marker of drug effect",_,_,_,_,_
50,34250387,BRAF,Non-Small Cell Lung Cancer,plasma,ddPCR,"Patients with advanced EGFR-mutant NSCLC across three phase I NCI osimertinib combination trials were analyzed in this study, and an institutional cohort of patients with KRAS-, EGFR-, and BRAF-mutant advanced NSCLC receiving systemic treatment was used for validation. Plasma was collected before treatment initiation and serially before each cycle of therapy, and key driver mutations in ctDNA were characterized by droplet digital polymerase chain reaction. Timing of plasma versus imaging response was compared in a separate cohort of patients with EGFR-mutant NSCLC treated with osimertinib. Across cohorts, we also studied ctDNA variability before treatment start.",_,"Using serial analysis of key KRAS, EGFR, and BRAF driver mutations, we find that plasma ctDNA response among patients with advanced NSCLC receiving systemic therapy is an early phenomenon and that the vast majority can be seen within the first cycle of therapy. Decreases in mutation abundance were observed as early as 7 days following treatment initiation and the median time to nadir among patients who achieved complete clearance was 23.5 days (IQR, 21.0-31.3). Our findings suggest that plasma ctDNA changes in response to treatment initiation often occur well before the earliest standard imaging timepoints, and that early ctDNA analysis has the potential to fill this gap as an early marker of drug effect",_,_,_,_,_
51,34250387,EGFR,Non-Small Cell Lung Cancer,plasma,ddPCR,"Patients with advanced EGFR-mutant NSCLC across three phase I NCI osimertinib combination trials were analyzed in this study, and an institutional cohort of patients with KRAS-, EGFR-, and BRAF-mutant advanced NSCLC receiving systemic treatment was used for validation. Plasma was collected before treatment initiation and serially before each cycle of therapy, and key driver mutations in ctDNA were characterized by droplet digital polymerase chain reaction. Timing of plasma versus imaging response was compared in a separate cohort of patients with EGFR-mutant NSCLC treated with osimertinib. Across cohorts, we also studied ctDNA variability before treatment start.",_,"Using serial analysis of key KRAS, EGFR, and BRAF driver mutations, we find that plasma ctDNA response among patients with advanced NSCLC receiving systemic therapy is an early phenomenon and that the vast majority can be seen within the first cycle of therapy. Decreases in mutation abundance were observed as early as 7 days following treatment initiation and the median time to nadir among patients who achieved complete clearance was 23.5 days (IQR, 21.0-31.3). Our findings suggest that plasma ctDNA changes in response to treatment initiation often occur well before the earliest standard imaging timepoints, and that early ctDNA analysis has the potential to fill this gap as an early marker of drug effect",_,_,_,_,_
52,27166360,MEF2B,Diffuse Large B-Cell Lymphoma,plasma,ddPCR,"In this phase 2 clinical trial, we evaluated panobinostat, an orally available pan-HDI in patients with relapsed or refractory transformed or de novo DLBCL (rrDLBCL), randomized to the HDI alone or in combination with rituximab. Our study design allowed for quantitative assessment of tumor response to therapy by obtaining pretreatment (day 0) and day 15 tissue biopsies and simultaneous collection of plasma for analysis of circulating tumor DNA (ctDNA). Using these samples, we evaluated pretreatment biopsies for mutations commonly associated with DLBCL, including HME genes, as well as for COO and MYC and BCL2 expression. We used day-15 biopsies to assess for changes in H3 acetylation and expression of common lymphoma markers after therapy.",_,"panobinostat induces very durable responses in some patients with relapsed DLBCL, and early responses can be predicted by mutations in MEF2B or a significant change in ctDNA level at 15 days after treatment initiation",_,_,_,panobinostat,"DLBCL-associated MEF2B hot-spot mutations, such as those observed in these patients, reduce the expression of MEF2B targets and affect DLBCL cell migration in vitro."
53,32379501,KRAS,Colorectal Cancer,plasma,"ddPCR(QX200 (Bio-Rad, CA, USA).)",200 advance-stage patients with metastatic disease were selected and followed-up. Serial blood draws were used to quantify CTCs and ctDNA,_,"As a prognosis indicator, results demonstrated that patients who had positive CTCs and plasma DNA had worse outcomes",_,_,_,_,_
54,32623075,TP53,Lung Adenocarcinoma,plasma,HiSeq4000 NGS plaforms (Illumina) ,Tumor tissues and matched postoperative plasma samples were collected from a total of 82 (p)stage I LUAD patients. Comprehensive genomic profiling was performed using capture-based hybrid next generation sequencing by targeting 422 cancer relevant genes.,_,_,"GGO and non-GGO subgroups indicated the frequency of TP53 mutations in non-GGO was markedly higher than that in GGO (47 % vs 21 %, P < 0.05)( ground-glass opacity (GGO) and solid nodules (non-GGO))",_,_,_,_
55,32623075,EGFR,Lung Adenocarcinoma,plasma,HiSeq4000 NGS plaforms (Illumina) ,Tumor tissues and matched postoperative plasma samples were collected from a total of 82 (p)stage I LUAD patients. Comprehensive genomic profiling was performed using capture-based hybrid next generation sequencing by targeting 422 cancer relevant genes.,_,a significant association between the presence of EGFR mutations in ctDNA and DFS (P < 0.01).,_,_,_,_,_
56,32020432,ESR1,Breast Cancer,plasma,"ION S5 system (Thermo Fisher Scientifc, Waltham, MA, USA).",A total of 56 HR-MBC patients were enrolled. Cell-free DNA (cfDNA) was extracted from plasma and sequenced by using Oncomine Breast cancer cfDNA assay in this study.,_,patients with ESR1 mutation showed shorter PFS than those without mutation (log-rank p = 0.047),_,_,_,_,_
57,29438522,RAS,Colorectal Cancer,plasma,AmpliSeq Colon and Lung Cancer Panel V2,_,_,_,_,This prospective trial demonstrates excellent concordance between RAS status in plasma and tumor tissue from patients with colorectal cancer and liver metastases.,_,_,_
58,33708847,TP53,Breast Cancer,plasma,HiSeq 3000 Sequencing System,"We performed ctDNA panel-captured sequencing of 958 blood samples from MBC patients including 494 hormone receptor (HR)-positive cases, 130 human epidermal growth factor receptor 2-positive cases, and 177 triple-negative breast cancer (TNBC) cases. The somatic mutations and potential targets were assessed. Progression-free survival (PFS) was analyzed using the Kaplan-Meier method.",_,"TP53, ERBB2, or coexisting TP53/PIK3CA mutations in MBC were remarkably related with shorter PFS.",_,_,_,_,_
59,33708847,ERBB2,Breast Cancer,plasma,HiSeq 3000 Sequencing System,"We performed ctDNA panel-captured sequencing of 958 blood samples from MBC patients including 494 hormone receptor (HR)-positive cases, 130 human epidermal growth factor receptor 2-positive cases, and 177 triple-negative breast cancer (TNBC) cases. The somatic mutations and potential targets were assessed. Progression-free survival (PFS) was analyzed using the Kaplan-Meier method.",_,"TP53, ERBB2, or coexisting TP53/PIK3CA mutations in MBC were remarkably related with shorter PFS.",_,_,_,_,_
60,33708847,PIK3CA,Breast Cancer,plasma,HiSeq 3000 Sequencing System,"We performed ctDNA panel-captured sequencing of 958 blood samples from MBC patients including 494 hormone receptor (HR)-positive cases, 130 human epidermal growth factor receptor 2-positive cases, and 177 triple-negative breast cancer (TNBC) cases. The somatic mutations and potential targets were assessed. Progression-free survival (PFS) was analyzed using the Kaplan-Meier method.",_,"TP53, ERBB2, or coexisting TP53/PIK3CA mutations in MBC were remarkably related with shorter PFS.",_,_,_,_,_
61,26560360,ESR1,Breast Cancer,plasma,Bio-Rad QX200 droplet ddPCR system,"We collected a series of plasma DNA samples from patients with advanced breast cancer to assess the potential utility of ESR1 mutation analysis in ctDNA. We developed multiplex digital PCR assays for hot-spot ligand binding domain mutations and used these assays to screen for ESR1 mutations. In parallel, a subset of patients had biopsy samples obtained contemporaneously with plasma samples to assess agreement with tumor biopsy, and repeat plasma sampling to assess reproducibility and the ability to mail samples in preservative tubes. We investigated the relationship between detection of ESR1 mutation and sensitivity to subsequent hormonal therapy. We also identified the clinical and pathological features that associated with the presence of an ESR1 mutation and validated these associations in an independent series of 49 tumor biopsies taken on progression on aromatase inhibitor therapy",_,"Patients with ESR1 mutation(s) detected in plasma had a substantially shorter progression-free survival (PFS) on subsequent AI-based therapy, whether given as therapy after disease progression (HR 3.7, 95% CI 1.9-76.9, p=0.008 log rank test) or including the duration of AI given as maintenance therapy after response to prior chemotherapy ( HR 3.1, 95%CI 1.9-23.1, p=0.0041 log rank test).",_,_,_,_,_
62,35902848,LRP1B,Non-Small Cell Lung Cancer,plasma,_,"We collected plasma samples of 51 advanced NSCLC patients without EGFR/ALK/ROS1 alteration at baseline and/or after two treatment cycles of ICIs plus chemotherapy. A blood-based intratumor heterogeneity (bITH) score was calculated based on the allele frequencies of somatic mutations using a 520-gene panel. bITH-up was defined as a ≡ 10% increase in bITH score from baseline, with a second confirmatory measurement after treatment.",_,"LRP1B mutation and KEAP1 mutation were significantly associated with PFS in multivariate analysis (LRP1B mutation: HR, 0.15; 95% CI, 0.03每0.72; P = 0.018; KEAP1 mutation: HR, 4.26; 95% CI, 1.18每15.32; P = 0.027) . Patients with LRP1B mutation had higher ORR than those with LRP1B wild type, while there were no difference in ORR between KEAP1 mutation and wild typeMultivariate COX analysis showed that LRP1B mutation remained to be significantly associated with better PFS, which was independent of PD-L1, bTMB, tumor size, and CRP level.",_,_,_,_,_
